gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubCountyId,databaseSubCountyName,countyExact,countyNormalized,subCountyExact,subCountyNormalized,classification,reason
2054,Nairobi,Embakasi North Sub County,Dandora Area Ii Ward,2233,Dandora Area Ii Ward,79,Nairobi City,533,Embakasi North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2055,Nairobi,Embakasi North Sub County,Dandora Area Iii Ward,2234,Dandora Area Iii Ward,79,Nairobi City,533,Embakasi North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2057,Nairobi,Embakasi Central Sub County,Kayole North Ward,2235,Kayole North Ward,79,Nairobi City,535,Embakasi Central Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2058,Nairobi,Embakasi Central Sub County,Kayole Central Ward,2236,Kayole Central Ward,79,Nairobi City,535,Embakasi Central Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2068,Nairobi,Embakasi West Sub County,Umoja Ii Ward,2237,Umoja Ii Ward,79,Nairobi City,534,Embakasi West Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2059,Nairobi,Embakasi Central Sub County,Kayole South Ward,2238,Kayole South Ward,79,Nairobi City,535,Embakasi Central Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2074,Nairobi,Makadara  Sub County,Makongeni Ward,2239,Makongeni Ward,79,Nairobi City,1578,Makadara,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2060,Nairobi,Embakasi Central Sub County,Komarock Ward,2240,Komarock Ward,79,Nairobi City,535,Embakasi Central Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2061,Nairobi,Embakasi Central Sub County,Matopeni/spring Valley Ward,2241,Matopeni/spring Valley Ward,79,Nairobi City,535,Embakasi Central Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2076,Nairobi,Kamukunji  Sub County,Eastleigh North Ward,2242,Eastleigh North Ward,79,Nairobi City,1574,Kamukunji,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
