gid,wardId,wardName,countyName,authoritativeSubcountyName,authoritativeScuid,databaseSubCountyId,databaseSubCountyName,databaseCountyId,databaseCountyName,status,detail
1653,1133,Kongoni Ward,Kakamega,Likuyani Sub County,,1499,Likuyani,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1654,1134,Nzoia Ward,Kakamega,Likuyani Sub County,,1499,Likuyani,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1655,1135,Sinoko Ward,Kakamega,Likuyani Sub County,,1499,Likuyani,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1656,1136,West Kabras Ward,Kakamega,Malava Sub County,,290,Malava Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1657,1137,Chemuche Ward,Kakamega,Malava Sub County,,290,Malava Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1658,1138,East Kabras Ward,Kakamega,Malava Sub County,,290,Malava Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1659,1139,Butali Chegulo Ward,Kakamega,Malava Sub County,,290,Malava Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1660,1140,Manda-shivanga Ward,Kakamega,Malava Sub County,,290,Malava Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1661,1141,Shirungu-mugai Ward,Kakamega,Malava Sub County,,290,Malava Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1662,1142,South Kabras Ward,Kakamega,Malava Sub County,,290,Malava Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1663,1143,Butsotso East Ward,Kakamega,Lurambi Sub County,,291,Lurambi Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1664,1144,Butsotso South  Ward,Kakamega,Lurambi Sub County,,291,Lurambi Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1665,1145,Butsotso Central Ward,Kakamega,Lurambi Sub County,,291,Lurambi Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1666,1146,Sheywe Ward,Kakamega,Lurambi Sub County,,291,Lurambi Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1667,1147,Mahiakalo Ward,Kakamega,Lurambi Sub County,,291,Lurambi Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1668,1148,Shirere Ward,Kakamega,Lurambi Sub County,,291,Lurambi Sub County,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1669,1149,Ingoste-matiha Ward,Kakamega,Navakholo Sub County,,1505,Navakholo,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1670,1150,Shinoyi-shikomari-esumeiya Ward,Kakamega,Navakholo Sub County,,1505,Navakholo,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1671,1151,Bunyala West Ward,Kakamega,Navakholo Sub County,,1505,Navakholo,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1672,1152,Bunyala East Ward,Kakamega,Navakholo Sub County,,1505,Navakholo,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1673,1153,Bunyala Central Ward,Kakamega,Navakholo Sub County,,1505,Navakholo,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1674,1154,Mumias Central Ward,Kakamega,Mumias West  Sub County,,1504,Mumias West,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1796,1155,Kipevu Ward,Mombasa,Changamwe Sub County,,1251,Changamwe,55,Mombasa,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
961,1156,BELGUT,KERICHO,AINAMOI,,295,AINAMOI,56,Kericho,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
94,1157,Chewani Ward,TANA RIVER,Galole Sub County,,296,Galole Sub County,57,Tana River,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
92,1158,Kinakomba Ward,TANA RIVER,Galole Sub County,,296,Galole Sub County,57,Tana River,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1476,1159,Kanyasa Ward,Migori,Nyatike Sub County,,1551,Nyatike,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1477,1160,North Kadem Ward,Migori,Nyatike Sub County,,1551,Nyatike,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1478,1161,Macalder/kanyarwanda Ward,Migori,Nyatike Sub County,,1551,Nyatike,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1479,1162,Kaler Ward,Migori,Nyatike Sub County,,1551,Nyatike,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1480,1163,Got Kachola Ward,Migori,Nyatike Sub County,,1551,Nyatike,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1481,1164,Muhuru Ward,Migori,Nyatike Sub County,,1551,Nyatike,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1482,1165,Bukira East Ward,Migori,Kuria West Sub County,,1550,Kuria West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1483,1166,Bukira Central/ikerege Ward,Migori,Kuria West Sub County,,1550,Kuria West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1484,1167,Isibania Ward,Migori,Kuria West Sub County,,1550,Kuria West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1797,1168,Airport Ward,Mombasa,Changamwe Sub County,,1251,Changamwe,55,Mombasa,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
