wardId,wardName,sourceGid,sourceUid,currentSubCountyId,currentSubCountyName,currentCountyId,currentCountyName,authoritativeGid,authoritativeUid,authoritativeSubCountyName,authoritativeCountyName,canonicalSourceName,canonicalCountyCode,canonicalDbId,canonicalDbName,reason
1356,Migwani Ward,338,Apa4iLKG02o,344,Mwingi West Sub County,68,Kitui,338,Apa4iLKG02o,Mwingi West Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1357,Kiomo/kyethani Ward,339,vpiZlB5cdK7,344,Mwingi West Sub County,68,Kitui,339,vpiZlB5cdK7,Mwingi West Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1367,Kwavonza/yatta Ward,352,LHmp6sPE2w7,348,Kitui Rural Sub County,68,Kitui,352,LHmp6sPE2w7,Kitui Rural Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1368,Kanyangi Ward,353,pesguszdkri,348,Kitui Rural Sub County,68,Kitui,353,pesguszdkri,Kitui Rural Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1384,Nzambani Ward,360,Ekb0OY8S4Jm,354,Kitui East Sub County,68,Kitui,360,Ekb0OY8S4Jm,Kitui East Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1386,Township Ward,1622,ysCS3ZD38VF,284,Kanduyi Sub County,53,Bungoma,1622,ysCS3ZD38VF,Kanduyi Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1387,Khalaba Ward,1623,AqsJZWunWRF,284,Kanduyi Sub County,53,Bungoma,1623,AqsJZWunWRF,Kanduyi Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1388,Musikoma Ward,1624,jmsoF18bsh0,284,Kanduyi Sub County,53,Bungoma,1624,jmsoF18bsh0,Kanduyi Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1389,East Sang'alo Ward,1625,jhQaAr01YU5,284,Kanduyi Sub County,53,Bungoma,1625,jhQaAr01YU5,Kanduyi Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1390,Marakaru/tuuti Ward,1626,thvW4MLkf3E,284,Kanduyi Sub County,53,Bungoma,1626,thvW4MLkf3E,Kanduyi Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
