countyId,countyName,currentSubCountyId,currentSubCountyName,wards,authoritativeSubCountyNames,authoritativeWardCount,canonicalTargetId,canonicalTargetName,classification,reason,farmers,farms,businessPartners,destinationTransactions,sourceTransactions
51,Homa Bay,267,Kasipul Sub County,5,Kasipul Sub County,5,267,Kasipul Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
51,Homa Bay,268,Kabondo Kasipul Sub County,4,Kabondo Kasipul Sub County,4,268,Kabondo Kasipul Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
51,Homa Bay,269,Karachuonyo Sub County,7,Karachuonyo Sub County,7,269,Karachuonyo Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
51,Homa Bay,270,Rangwe Sub County,4,Rangwe Sub County,4,270,Rangwe Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
51,Homa Bay,271,Homa Bay Town Sub County,4,Homa Bay Town Sub County,4,271,Homa Bay Town Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
51,Homa Bay,272,Ndhiwa Sub County,7,Ndhiwa Sub County,7,272,Ndhiwa Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
51,Homa Bay,273,Mbita Sub County,5,Mbita Sub County,5,273,Mbita Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
51,Homa Bay,310,Suba Sub County,4,Suba Sub County,4,310,Suba Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
48,Isiolo,255,Isiolo Sub County,5,Isiolo Sub County,5,255,Isiolo Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
48,Isiolo,519,Merti Sub County,2,Merti Sub County,2,519,Merti Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
48,Isiolo,520,Garbatulla Sub County,3,Garbatulla Sub County,3,520,Garbatulla Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
92,Kajiado,468,Kajiado Central Sub County,5,Kajiado Central Sub County,5,468,Kajiado Central Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
92,Kajiado,469,Kajiado East Sub County,5,Kajiado East Sub County,5,469,Kajiado East Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
92,Kajiado,470,Kajiado West Sub County,5,Kajiado West Sub County,5,470,Kajiado West Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
92,Kajiado,528,Loitokitok Sub County,5,Loitokitok Sub County,5,528,Loitokitok Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
