gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,normalizedCounty,normalizedSubCounty,actualWardId,actualCountyId,actualCountyName,actualSubCountyId,actualSubCountyName,candidateCountyIds,candidateSubCountyIds,candidateSubCountyNames,status,reason
755,NANDI,Aldai Sub County,Kabwareng Ward,nandi,aldai,1832,88,Nandi,451,Aldai Sub County,88,451,Aldai Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
778,NANDI,Mosop Sub County,Ndalat Ward,nandi,mosop,1833,88,Nandi,462,Mosop Sub County,88,462,Mosop Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1791,Nakuru,Nakuru East  Sub County,Kivumbini Ward,nakuru,nakurueast,1834,77,Nakuru,1464,Nakuru East,77,1464,Nakuru East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1792,Nakuru,Nakuru East  Sub County,Flamingo Ward,nakuru,nakurueast,1835,77,Nakuru,1464,Nakuru East,77,1464,Nakuru East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1793,Nakuru,Nakuru East  Sub County,Menengai Ward,nakuru,nakurueast,1836,77,Nakuru,1464,Nakuru East,77,1464,Nakuru East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
781,BARINGO,Tiaty Sub County,Tirioko Ward,baringo,tiaty,1837,90,Baringo,757,Tiaty East,90,,,KNOWN_SEMANTIC_EXCEPTION,"Authoritative identity is Tiaty Sub County, while the repaired canonical database identity is Tiaty East (ID 757). V15.2 explicitly established this semantic mapping; no general alias rule is being used."
782,BARINGO,Tiaty Sub County,Kolowa Ward,baringo,tiaty,1838,90,Baringo,757,Tiaty East,90,,,KNOWN_SEMANTIC_EXCEPTION,"Authoritative identity is Tiaty Sub County, while the repaired canonical database identity is Tiaty East (ID 757). V15.2 explicitly established this semantic mapping; no general alias rule is being used."
783,BARINGO,Tiaty Sub County,Ribkwo Ward,baringo,tiaty,1839,90,Baringo,757,Tiaty East,90,,,KNOWN_SEMANTIC_EXCEPTION,"Authoritative identity is Tiaty Sub County, while the repaired canonical database identity is Tiaty East (ID 757). V15.2 explicitly established this semantic mapping; no general alias rule is being used."
784,BARINGO,Tiaty Sub County,Silale Ward,baringo,tiaty,1840,90,Baringo,757,Tiaty East,90,,,KNOWN_SEMANTIC_EXCEPTION,"Authoritative identity is Tiaty Sub County, while the repaired canonical database identity is Tiaty East (ID 757). V15.2 explicitly established this semantic mapping; no general alias rule is being used."
785,BARINGO,Tiaty Sub County,Loiyamorok Ward,baringo,tiaty,1841,90,Baringo,757,Tiaty East,90,,,KNOWN_SEMANTIC_EXCEPTION,"Authoritative identity is Tiaty Sub County, while the repaired canonical database identity is Tiaty East (ID 757). V15.2 explicitly established this semantic mapping; no general alias rule is being used."
