sourceGid,wardName,authoritativeCountyName,authoritativeSubcountyName,authoritativeScuid,authoritativeCountyId,authoritativeSubcountyId,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubcountyId,databaseSubcountyName,status,resolutionType,notes
1582,Busali Ward,Vihiga,Sabatia Sub County,urtJSF5jcBC,52,1508,1091,Busali Ward,52,Vihiga,1508,Sabatia,CORRECT,NORMALIZED,
1583,Shiru Ward,Vihiga,Hamisi Sub County,BXaq5PxSfz2,52,1510,1092,Shiru Ward,52,Vihiga,1510,Hamisi,CORRECT,NORMALIZED,
1584,Gisambai Ward,Vihiga,Hamisi Sub County,BXaq5PxSfz2,52,1510,1093,Gisambai Ward,52,Vihiga,1510,Hamisi,CORRECT,NORMALIZED,
1585,Muhudu Ward,Vihiga,Hamisi Sub County,BXaq5PxSfz2,52,1510,1094,Muhudu Ward,52,Vihiga,1510,Hamisi,CORRECT,NORMALIZED,
1586,Tambua Ward,Vihiga,Hamisi Sub County,BXaq5PxSfz2,52,1510,1095,Tambua Ward,52,Vihiga,1510,Hamisi,CORRECT,NORMALIZED,
1587,Jepkoyai Ward,Vihiga,Hamisi Sub County,BXaq5PxSfz2,52,1510,1096,Jepkoyai Ward,52,Vihiga,1510,Hamisi,CORRECT,NORMALIZED,
1591,Luanda South Ward,Vihiga,Luanda Sub County,lkYdgjRSOoE,52,1509,1097,Luanda South Ward,52,Vihiga,1509,Luanda,CORRECT,NORMALIZED,
1593,North East Bunyore Ward,Vihiga,Emuhaya Sub County,Lpy789vqRC6,52,1506,1098,North East Bunyore Ward,52,Vihiga,1506,Emuhaya,CORRECT,NORMALIZED,
1596,Banja Ward,Vihiga,Hamisi Sub County,BXaq5PxSfz2,52,1510,1099,Banja Ward,52,Vihiga,1510,Hamisi,CORRECT,NORMALIZED,
1597,South Maragoli Ward,Vihiga,Vihiga Sub County,OOF3UX4yOt7,52,1507,1100,South Maragoli Ward,52,Vihiga,1507,Vihiga,CORRECT,NORMALIZED,
1598,Shamakhokho Ward,Vihiga,Hamisi Sub County,BXaq5PxSfz2,52,1510,1101,Shamakhokho Ward,52,Vihiga,1510,Hamisi,CORRECT,NORMALIZED,
1600,Cheptais Ward,Bungoma,Cheptais Sub County,NZphHeczehh,53,1516,1102,Cheptais Ward,53,Bungoma,1516,Cheptais,CORRECT,NORMALIZED,
1603,Kakateny Ward,Bungoma,Cheptais Sub County,NZphHeczehh,53,1516,1103,Kakateny Ward,53,Bungoma,1516,Cheptais,CORRECT,NORMALIZED,
1604,Kaptama Ward,Bungoma,Mt Elgon Sub County,ZCYATXdLsL1,53,280,1104,Kaptama Ward,53,Bungoma,280,Mt Elgon Sub County,CORRECT,EXACT,
1607,Malakisi/south Kulisiru Ward,Bungoma,Sirisia Sub County,whWfFA9D7td,53,281,1105,Malakisi/south Kulisiru Ward,53,Bungoma,281,Sirisia Sub County,CORRECT,EXACT,
1608,Lwandanyi Ward,Bungoma,Sirisia Sub County,whWfFA9D7td,53,281,1106,Lwandanyi Ward,53,Bungoma,281,Sirisia Sub County,CORRECT,EXACT,
1610,West Nalondo Ward,Bungoma,Kabuchai Sub County,k1mze33jOs0,53,282,1107,West Nalondo Ward,53,Bungoma,282,Kabuchai Sub County,CORRECT,EXACT,
1612,Mukuyuni Ward,Bungoma,Kabuchai Sub County,k1mze33jOs0,53,282,1108,Mukuyuni Ward,53,Bungoma,282,Kabuchai Sub County,CORRECT,EXACT,
1616,Kabula  Ward,Bungoma,Bumula Sub County,jkQZEow83MX,53,1511,1109,Kabula  Ward,53,Bungoma,1511,Bumula,CORRECT,NORMALIZED,
1617,Kimaeti Ward,Bungoma,Bumula Sub County,jkQZEow83MX,53,1511,1110,Kimaeti Ward,53,Bungoma,1511,Bumula,CORRECT,NORMALIZED,
