sourceGid,wardName,authoritativeCountyName,authoritativeSubcountyName,authoritativeScuid,authoritativeCountyId,authoritativeSubcountyId,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubcountyId,databaseSubcountyName,status,resolutionType,notes
1653,Kongoni Ward,Kakamega,Likuyani Sub County,wMv0s3U2nnG,54,1499,1133,Kongoni Ward,54,Kakamega,1499,Likuyani,CORRECT,NORMALIZED,
1654,Nzoia Ward,Kakamega,Likuyani Sub County,wMv0s3U2nnG,54,1499,1134,Nzoia Ward,54,Kakamega,1499,Likuyani,CORRECT,NORMALIZED,
1655,Sinoko Ward,Kakamega,Likuyani Sub County,wMv0s3U2nnG,54,1499,1135,Sinoko Ward,54,Kakamega,1499,Likuyani,CORRECT,NORMALIZED,
1656,West Kabras Ward,Kakamega,Malava Sub County,ES1CWa4AJmJ,54,290,1136,West Kabras Ward,54,Kakamega,290,Malava Sub County,CORRECT,EXACT,
1657,Chemuche Ward,Kakamega,Malava Sub County,ES1CWa4AJmJ,54,290,1137,Chemuche Ward,54,Kakamega,290,Malava Sub County,CORRECT,EXACT,
1658,East Kabras Ward,Kakamega,Malava Sub County,ES1CWa4AJmJ,54,290,1138,East Kabras Ward,54,Kakamega,290,Malava Sub County,CORRECT,EXACT,
1659,Butali Chegulo Ward,Kakamega,Malava Sub County,ES1CWa4AJmJ,54,290,1139,Butali Chegulo Ward,54,Kakamega,290,Malava Sub County,CORRECT,EXACT,
1660,Manda-shivanga Ward,Kakamega,Malava Sub County,ES1CWa4AJmJ,54,290,1140,Manda-shivanga Ward,54,Kakamega,290,Malava Sub County,CORRECT,EXACT,
1661,Shirungu-mugai Ward,Kakamega,Malava Sub County,ES1CWa4AJmJ,54,290,1141,Shirungu-mugai Ward,54,Kakamega,290,Malava Sub County,CORRECT,EXACT,
1662,South Kabras Ward,Kakamega,Malava Sub County,ES1CWa4AJmJ,54,290,1142,South Kabras Ward,54,Kakamega,290,Malava Sub County,CORRECT,EXACT,
1663,Butsotso East Ward,Kakamega,Lurambi Sub County,Y3NjAhiBaZT,54,291,1143,Butsotso East Ward,54,Kakamega,291,Lurambi Sub County,CORRECT,EXACT,
