gid,wardId,wardName,authoritativeCounty,authoritativeSubCounty,databaseCounty,databaseCountyId,databaseSubCounty,databaseSubCountyId,countyIdentityMatch,subCountyIdentityMatch,status,countyNormalizedAuthoritative,countyNormalizedDatabase,subCountyNormalizedAuthoritative,subCountyNormalizedDatabase,wardUid,wardScuid,wardCuid,population2009
2042,2224,Babandogo,Nairobi,Ruaraka  Sub County,Nairobi City,79,Ruaraka  Sub County,405,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,ruaraka,ruaraka,,,,40036
2043,2225,Utalii Ward,Nairobi,Ruaraka  Sub County,Nairobi City,79,Ruaraka  Sub County,405,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,ruaraka,ruaraka,,,,36275
2048,2226,Kwa Njenga Ward,Nairobi,Embakasi South Sub County,Nairobi City,79,Embakasi South Sub County,407,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasisouth,embakasisouth,,,,24359
2056,2227,Dandora Area Iv Ward,Nairobi,Embakasi North Sub County,Nairobi City,79,Embakasi North Sub County,533,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasinorth,embakasinorth,,,,45567
2049,2228,Kwa Reuben Ward,Nairobi,Embakasi South Sub County,Nairobi City,79,Embakasi South Sub County,407,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasisouth,embakasisouth,,,,26015
2067,2229,Umoja I Ward,Nairobi,Embakasi West Sub County,Nairobi City,79,Embakasi West Sub County,534,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasiwest,embakasiwest,,,,47811
2051,2230,Kware Ward,Nairobi,Embakasi South Sub County,Nairobi City,79,Embakasi South Sub County,407,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasisouth,embakasisouth,,,,23829
2052,2231,Kariobangi North Ward,Nairobi,Embakasi North Sub County,Nairobi City,79,Embakasi North Sub County,533,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasinorth,embakasinorth,,,,39342
2053,2232,Dandora Area I Ward,Nairobi,Embakasi North Sub County,Nairobi City,79,Embakasi North Sub County,533,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasinorth,embakasinorth,,,,22802
2054,2233,Dandora Area Ii Ward,Nairobi,Embakasi North Sub County,Nairobi City,79,Embakasi North Sub County,533,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasinorth,embakasinorth,,,,33675
2055,2234,Dandora Area Iii Ward,Nairobi,Embakasi North Sub County,Nairobi City,79,Embakasi North Sub County,533,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasinorth,embakasinorth,,,,40002
2057,2235,Kayole North Ward,Nairobi,Embakasi Central Sub County,Nairobi City,79,Embakasi Central Sub County,535,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasicentral,embakasicentral,,,,39292
2058,2236,Kayole Central Ward,Nairobi,Embakasi Central Sub County,Nairobi City,79,Embakasi Central Sub County,535,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasicentral,embakasicentral,,,,50712
2068,2237,Umoja Ii Ward,Nairobi,Embakasi West Sub County,Nairobi City,79,Embakasi West Sub County,534,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasiwest,embakasiwest,,,,53666
2059,2238,Kayole South Ward,Nairobi,Embakasi Central Sub County,Nairobi City,79,Embakasi Central Sub County,535,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasicentral,embakasicentral,,,,50317
2074,2239,Makongeni Ward,Nairobi,Makadara  Sub County,Nairobi City,79,Makadara,1578,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,makadara,makadara,,,,31022
2060,2240,Komarock Ward,Nairobi,Embakasi Central Sub County,Nairobi City,79,Embakasi Central Sub County,535,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasicentral,embakasicentral,,,,35628
2061,2241,Matopeni/spring Valley Ward,Nairobi,Embakasi Central Sub County,Nairobi City,79,Embakasi Central Sub County,535,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasicentral,embakasicentral,,,,14930
2076,2242,Eastleigh North Ward,Nairobi,Kamukunji  Sub County,Nairobi City,79,Kamukunji,1574,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kamukunji,kamukunji,,,,43258
2062,2243,Upper Savanna Ward,Nairobi,Embakasi East Sub County,Nairobi City,79,Embakasi East Sub County,509,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasieast,embakasieast,,,,45137
2069,2244,Mowlem Ward,Nairobi,Embakasi West Sub County,Nairobi City,79,Embakasi West Sub County,534,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasiwest,embakasiwest,,,,22953
2070,2245,Kariobangi South Ward,Nairobi,Embakasi West Sub County,Nairobi City,79,Embakasi West Sub County,534,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasiwest,embakasiwest,,,,33036
2071,2246,Maringo/hamza Ward,Nairobi,Makadara  Sub County,Nairobi City,79,Makadara,1578,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,makadara,makadara,,,,52293
2079,2248,California Ward,Nairobi,Kamukunji  Sub County,Nairobi City,79,Kamukunji,1574,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kamukunji,kamukunji,,,,21699
2075,2249,Pumwani Ward,Nairobi,Kamukunji  Sub County,Nairobi City,79,Kamukunji,1574,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kamukunji,kamukunji,,,,37602
2078,2251,Airbase Ward,Nairobi,Kamukunji  Sub County,Nairobi City,79,Kamukunji,1574,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kamukunji,kamukunji,,,,43168
2080,2253,Nairobi Central Ward,Nairobi,Starehe  Sub County,Nairobi City,79,Starehe  Sub County,513,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,starehe,starehe,,,,13328
2081,2261,Ngara Ward Ward,Nairobi,Starehe  Sub County,Nairobi City,79,Starehe  Sub County,513,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,starehe,starehe,,,,25354
2082,2262,Pangani Ward,Nairobi,Starehe  Sub County,Nairobi City,79,Starehe  Sub County,513,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,starehe,starehe,,,,37062
2083,2263,Ziwani/kariokor,Nairobi,Starehe  Sub County,Nairobi City,79,Starehe  Sub County,513,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,starehe,starehe,,,,10488
2086,2264,Hospital Ward,Nairobi,Mathare  Sub County,Nairobi City,79,Mathare,1579,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,mathare,mathare,,,,20463
2087,2265,Mabatini Ward,Nairobi,Mathare  Sub County,Nairobi City,79,Mathare,1579,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,mathare,mathare,,,,28260
2089,2266,Ngei Ward,Nairobi,Mathare  Sub County,Nairobi City,79,Mathare,1579,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,mathare,mathare,,,,34523
2090,2267,Mlango Kubwa,Nairobi,Mathare  Sub County,Nairobi City,79,Mathare,1579,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,mathare,mathare,,,,38374
2091,2268,Kiamaiko Ward,Nairobi,Mathare  Sub County,Nairobi City,79,Mathare,1579,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,mathare,mathare,,,,33824
2092,2269,Kitisuru Ward,Nairobi,Westlands  Sub County,Nairobi City,79,Westlands  Sub County,486,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,westlands,westlands,,,,31242
